# id	left	top	right	bottom	texture_id
[SPRITES]
###################  BIG  ###############################
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0


############ RACCON ################
# Right = Left + Width
# Bottom = Top + Height - 1
# idle left
14111	182	634	203	661	0
# idle right
14121	243	634	264	661	0

# walk left
14211	152	634	173	661	0
14212	122	634	143	661	0

# walk right
14221	272	634	294	661	0
14222	303	634	324	661	0

# RUNNING RIGHT
14321	331	634	355	661	0
14322	362	634	385	661	0
14323	393	634	414	661	0

# RUNNING LEFT
14311	91	634	115	661	0
14312	61	634	84	661	0
14313	32	634	53	661	0

# Jump Walk Right & Left
14417	392	754	415	781	0
14413	31	754	54	781	0

# JUMP RUN RIGHT & LEFT
14427	361	714	386	743	0
14423	61	714	86	743	0

# SIT RIGHT & LEFT
14521	393	678	414	697	0
14511	32	678	53	697	0


# BRACE RIGHT & LEFT
14621	425	633	442	662	0
14611	5	633	22	662	0

# Fall Slow Right
14721	262	285	285	312	60
14722	288	285	311	312	60
14723	314	284	336	312	60

# Fall Slow Left
14711	1503	285	1526	312	60
14712	1477	285	1500	312	60
14713	1452	284	1474	312	60

# Flying Right
14821	420	285	444	312	60
14822	447	285	471	312	60
14823	474	284	498	312	60

# Flying Left
14811	1344	285	1368	312	60
14812	1317	285	1341	312	60
14813	1290	284	1314	312	60

# Attack using tail Right
14921	1575	284	1598	312	60
14922	190	284	213	312	60

# Attack using tail Left
14911	190	284	213	312	60
14912	1575	284	1598	312	60


############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

############### Mario Big #####################
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### Mario Raccon ##################
# idle left
1700	14111	100
# idle right
1701	14121	100

# walk right
1800	14221	100	14222	100
# walk left
1801	14211	100	14212	100

# Running Right
1900	14321	75	14322	75	14323	75
# Running Left
1901	14311	75	14312	75	14313	75

# Jump Walk Right & Left
2000	14417	100
2001	14413	100

# JUMP RUN RIGHT & LEFT
2100	14427	100
2101	14423	100

# SIT RIGHT & LEFT
2200	14521	100
2201	14511	100

# Brace Right & Left
2300	14621	100
2301	14611	100

# Fall Slow Right
2400	14721	75	14722	75	14723	75

# Fall Slow Left
2401	14711	75	14712	75	14713	75

# Flying Right & Left
2500	14821	75	14822	75	14823	75
2501	14811	75	14812	75	14813	75

# Attack using tail Right & Left
2600	14921	75	14922	75
2601	14911	75	14912	75



################### SMALL #################
1100	12121	100
1101	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
