# list of object assets to load in this scene
[ASSETS]
// Player
mario.txt

// Item
coin.txt
mushroom.txt

// Bricks  and Blocking object
brick.txt
question_brick.txt
cloud.txt


// Enemy
goomba.txt
wing_goomba.txt
koopa.txt

// Support
change_direction_on_platform.txt

// Map
image_map.txt




#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 5 = Platform, , 8 = invisible platform
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	380




# Coin
4	170	330

4	1073	320
4	1105	288
4	1137	256
4	1169	224
4	1201	192




# Brick
# Question Brick's location
7	176	352	0
7	192	352

7	224	304
7	240	304

7	416	320

7	656	384

7	704	352

7	1472	368

# Mushroom
# Extra settings: id of this mushroom, to connect with ? Brick
9	176	352	0

# Normal Brick's location
1	1504	336
1	1520	336

1	1568	400
1	1584	400
1	1584	384
1	1600	400
1	1600	384
1	1600	368

1	1664	400
1	1664	384
1	1664	368
1	1680	400
1	1680	384
1	1696	400

1	2256	368
1	2256	304

1	2272	368
1	2272	304

# Breakable Brick's location
1	1952	400

1	1968	400
1	1968	384

1	1984	400
1	1984	384
1	1984	368

1	2000	400
1	2000	384
1	2000	368

1	2016	400
1	2016	384
1	2016	368

1	2032	400
1	2032	384
1	2032	368

1	2048	400

1	2096	400
1	2096	384
1	2112	400




#Goomba
#2	190	385
#2	430	390


1	353	400
1	353	384

# Wing Goomba
#10	460	390	30


# Change direction on platform
#12	350	200	1
# Koopa
#11	540	356	1



#Platform
# 1st ground (lower)
5	0	416	16	16	39	51000	52000	53000
# 2nd ground (higher)
5	625	400	16	16	29	51000	52000	53000
# 3rd ground (lower)
5	1152	416	16	16	22	51000	52000	53000
# 4th ground (lower, short)
5	1536	416	16	16	5	51000	52000	53000
# 5th ground (
5	1664	416	16	16	36	51000	52000	53000
# 6th ground (lower, the last one of this scene)
5	2256	416	16	16	35	51000	52000	53000




# Invisible platform (Big rectangle platform)
# 1st ground
# 1st (Pink)
8	240	368	48	8
# 2nd (Blue)
8	272	336	48	8

# 3rd (Green)
8	400	368	80	8
5	400	368	16	16	5	51000	52000	53000

# 4th (Pink)
8	464	336	64	8

# 5th (Green)
#8	512	384	96	8
5	510	383	16	16	6	51000	52000	53000

# 6th (White)
8	512	304	64	8

# 3rd ground
# 7th (Green)
8	1264	384	112	8
# 8th (Pink)
8	1296	352	112	8
# 9th (Blue)
8	1328	320	112	8

# 5th ground
# 10th (Pink)
8	2144	368	48	8
# 11th (Green)
8	2176	272	48	8

# Above
# 12th (Pink)
8	1312	144	64	8
# 13th (1st square cloud)
8	1408	192	64	16
# 14th (2nd square cloud)
8	1488	176	208	16




# Pipe
# 1st
# 8	352	368	32	48




#Image map
6	0	0	60000
