# list of object assets to load in this scene
[ASSETS]
// Player
mario.txt

// Item
coin.txt

// Bricks  and Blocking object
pipe.txt
brick.txt
cloud.txt

// Map
image_map.txt


#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 5 = Platform, , 8 = invisible platform
# See OBJECT_TYPE constants in AssetIDs.h

# Mario
0	133	5

# Coin
4	192	64
4	192	80
4	192	96
4	192	112
4	192	128

4	208	64
4	208	80
4	208	96
4	208	112
4	208	128

4	224	64
4	224	80
4	224	96
4	224	112
4	224	128



# Brick
# Underground bricks
# Vertical Left
1	112	0
1	112	16
1	112	32
1	112	48
1	112	64

1	112	80
1	112	96
1	112	112
1	112	128
1	112	144

# Vertical Right
1	384	0
1	384	16
1	384	32
1	384	48
1	384	64
1	400	0
1	400	16
1	400	32
1	400	48
1	400	64


# Horizontal
1	160	0
1	176	0
1	192	0
1	208	0
1	224	0

1	240	0
1	256	0
1	272	0
1	288	0
1	304	0

1	320	0
1	336	0

1	384	0
1	400	0

# Stairs
1	256	144
1	272	144
		
1	272	128
1	288	128
		
1	288	112
1	304	112
		
1	304	96
1	320	96
		
1	320	80
1	336	80
		
1	336	64
1	352	64
1	368	64




# Platform
5	112	160	16	16	10	20001	20001	20001	1	100










